GivenName,Surname,Gender,StreetAddress,City,TelephoneNumber,Birthday
Wilma,Porter,female,1283 Willow Oaks Lane,Lafayette,337-401-8203,6/25/1991
Mary,Kim,female,560 Liberty Street,Dallas,214-859-3230,12/10/1968
Tracey,Killian,male,1145 Rosemont Avenue,Cocoa Beach,321-799-4865,4/29/1988
Carmen,Helmick,female,4216 Washington Avenue,Phoenix,602-216-8194,4/29/1953
Juan,Stevens,male,3574 Dola Mine Road,Morrisville,919-371-1381,10/7/1963
Marcelino,McClellan,male,4613 Grant View Drive,Hales Corners,414-425-4920,7/22/1972
Daniel,Rodriguez,male,2933 Luke Lane,Oklahoma City,580-284-0607,8/1/1951
Samuel,Lanier,male,4970 Johnstown Road,Chicago,847-379-9610,10/3/1954
Charles,Wilson,male,3323 George Street,Ocala,352-441-9098,3/23/1961
Marie,Grogan,female,1585 Williams Avenue,Palmdale,661-266-6033,6/10/1970
Steven,Robidoux,male,2364 John Daniel Drive,Manchester,573-692-1381,2/22/1988
Nathaniel,Gibson,male,2793 Godfrey Street,Tigard,503-620-9720,5/10/1992
Donna,Kaye,female,242 Cottrill Lane,Saint Louis,314-404-8517,5/4/1980
Charles,Weber,male,3924 Maryland Avenue,Polk City,727-560-9653,4/1/1968
Jessica,Davis,female,4438 Olive Street,Toledo,419-306-8961,4/30/1984
Deborah,Low,female,2895 Wright Court,Seattle,206-224-8809,4/22/1967
Christine,Jefferson,female,1212 Clay Street,Indianapolis,317-410-0474,12/19/1962
Donna,Howe,female,2914 Palmer Road,Westerville,614-628-8557,11/9/1949
Kristin,Pollard,female,4742 Hazelwood Avenue,Boone,515-432-6532,2/9/1949
Paula,Foutz,female,2111 Margaret Street,Houston,713-910-0371,4/12/1974
Felix,Hall,male,4295 Paradise Lane,Santa Ana,909-653-1421,7/26/1983
Debra,Struthers,female,4428 Hott Street,Tecumseh,405-598-0467,2/27/1948
Maria,Oliphant,female,2804 Orchard Street,Golden Valley,952-697-3712,10/27/1950
Dolores,Simmons,female,2459 Collins Street,Zephyrhills,813-788-4165,4/21/1975
Lionel,Capobianco,male,1530 Simpson Street,East Moline,309-751-1229,6/15/1960
Michael,Tibbetts,male,689 Small Street,New York,212-853-1185,9/28/1948
Earl,Alcala,male,1712 Pinnickinnick Street,Lyndhurst,732-883-7179,7/31/1992
Deanne,Duggan,female,4587 Williams Avenue,Bakersfield,661-318-7753,7/4/1959
Maria,Garcia,female,1768 Melody Lane,Richmond,804-397-8232,4/26/1958
Marie,Pratt,female,1433 Hope Street,Centennial,970-989-4863,10/3/1955
Ronald,Murray,male,3221 Lochmere Lane,Groton,860-449-3995,12/22/1949
Rosemary,Wooley,female,2612 Berry Street,Colorado Springs,719-660-4028,12/7/1961
Andrew,Casey,male,1947 Arrowood Drive,Jacksonville,904-465-8790,4/19/1960
Christine,Michalski,female,2211 Oliverio Drive,Preston,620-656-9571,10/23/1987
Starr,Banks,female,1000 Cabell Avenue,Dale City,703-590-2245,7/28/1967
Evonne,Isabell,female,3908 Koontz Lane,Sherman Oaks,818-817-8954,11/12/1956
Matthew,Young,male,3952 Crestview Manor,Indianapolis,317-266-1828,2/15/1975
Brenda,Johnson,female,2523 Irving Road,Saint Clairsville,740-512-4437,5/24/1990
Joshua,Garcia,male,3686 Memory Lane,Dekalb,815-902-4351,10/22/1960
